No NAME  	GMS  	PTS  	REB   	AST  	TO  	A/T  	STL  	BLK  	PF  	FG  	FT  	3P
1. NorthCarolina	6	84.2	41.5	17.8	12.8	1.39	6.7	3.8	16.7	0.514	0.664	0.417
2. Illinois	6	74.5	34	19	10.2	1.87	8	1.7	16.5	0.457	0.753	0.361
3. Louisville	5	77.4	35.4	13.6	11	1.24	5.4	4.2	16.6	0.479	0.702	0.376
4. MichiganState	5	80.8	37.8	13	12.6	1.03	8.4	2.4	19.8	0.445	0.783	0.329
5. Arizona	4	79.8	35	15.8	14.5	1.09	6	6.5	13.3	0.542	0.759	0.397
6. Kentucky	4	72.8	32.3	12.8	13.5	0.94	7.3	3.5	19.5	0.51	0.663	0.4
7. Wisconsin	4	68.8	31	13	11.3	1.16	3.8	0.8	14	0.467	0.753	0.429
8. WestVirginia	4	81	28.5	19	14.8	1.29	6.8	3.5	18.8	0.509	0.762	0.467
9. Duke	3	62.7	36	8.3	15.3	0.54	8	4.7	19.7	0.407	0.716	0.328
10. NorthCarolinaState	3	65.3	26.7	13	14	0.93	11.3	5.7	17.7	0.409	0.827	0.377
11. OklahomaState	3	75.3	29	16	13	1.23	8	0.3	17.7	0.483	0.827	0.476
12. Villanova	3	65.7	41.3	8.7	14.3	0.6	9.3	4.3	19.7	0.36	0.692	0.279
13. Utah	3	59.7	34.7	13.3	16.7	0.8	4.7	2	17.3	0.472	0.579	0.357
14. Washington	3	88	33.3	17	11.3	1.5	6.7	1.3	19.7	0.508	0.696	0.358
15. Wisconsin-Milwaukee	3	76.3	27.7	16.3	11.7	1.4	7	3	18.7	0.457	0.75	0.405
16. TexasTech	3	69.7	32.7	16.3	12.3	1.32	8.3	1.3	14.3	0.509	0.646	0.308
17. UAB	2	72.5	33.5	15	14.5	1.03	8.5	2	22.5	0.39	0.667	0.283
18. Connecticut	2	69.5	37	13	13.5	0.96	5	5	14.5	0.464	0.744	0.25
19. Florida	2	66	33	12	17.5	0.69	8.5	6	25.5	0.387	0.818	0.341
20. GeorgiaTech	2	67	32	11	12	0.92	8.5	1.5	21.5	0.44	0.781	0.406
21. IowaState	2	64.5	43	15.5	15	1.03	10	5	20	0.391	0.528	0.286
22. SouthernIllinois	2	71	30.5	13	10.5	1.24	8	1	25	0.41	0.818	0.323
23. BostonCollege	2	80	38.5	20	20.5	0.98	7	4	18	0.52	0.7	0.522
24. WakeForest	2	87.5	41.5	19.5	16.5	1.18	8.5	2.5	20	0.465	0.667	0.333
25. Oklahoma	2	71	40.5	9.5	10.5	0.9	8.5	3	19	0.393	0.794	0.156
26. Vermont	2	60.5	35.5	9.5	12.5	0.76	7	0	15.5	0.341	0.76	0.326
27. Pacific	2	79	33	14	10	1.4	3	1	18	0.459	0.7	0.409
28. MississippiState	2	74	39	11	9.5	1.16	5	5.5	19	0.437	0.66	0.433
29. Bucknell	2	63	29.5	15	9.5	1.58	7	1.5	22.5	0.429	0.767	0.283
30. Cincinnati	2	68	36.5	14	9	1.56	4.5	6	19	0.398	0.634	0.364
